src_id,wfs_id,object_id,VersieId,GeometrieMethode,GebouwStatus,area_m2,centroid_x,centroid_y,rank_area,south_usable_panel_area_m2,south_kwp,south_specific_yield,south_kwh_year,south_co2_tons_year,ew_usable_panel_area_m2,ew_kwp,ew_specific_yield,ew_kwh_year,ew_co2_tons_year,best_layout,best_kwh_year,best_co2_tons_year
Gebouw.14066320,https://data.vlaanderen.be/id/gebouw/14066320,14066320,2023-11-02 17:01:37,IngemetenGRB,Gerealiseerd,5809.115611895069,172367.4081797991,172119.93614538075,61,3485.4693671370414,871.3673417842604,1065.56,928494.1847116364,213.55366248367636,3485.4693671370414,871.3673417842604,878.665,765639.985368867,176.09719663483943,south,928494.1847116364,213.55366248367636
Gebouw.14116879,https://data.vlaanderen.be/id/gebouw/14116879,14116879,2024-11-13 10:26:23,IngemetenGRB,Gerealiseerd,5723.822228380152,175729.6532452217,171478.68483517648,62,3434.293337028091,858.5733342570228,1075.92,923756.2217938161,212.4639310125777,3434.293337028091,858.5733342570228,886.14,760816.1744185182,174.98772011625917,south,923756.2217938161,212.4639310125777
Gebouw.19743935,https://data.vlaanderen.be/id/gebouw/19743935,19743935,2023-11-03 05:04:53,IngemetenGRB,Gerealiseerd,5670.428707940995,175674.63304235134,171250.6643229466,63,3402.257224764597,850.5643061911493,1075.61,914875.473382262,210.42135887792028,3402.257224764597,850.5643061911493,886.09,753676.5260729155,173.34560099677057,south,914875.473382262,210.42135887792028
Gebouw.13965419,https://data.vlaanderen.be/id/gebouw/13965419,13965419,2023-11-02 15:16:53,IngemetenGRB,Gerealiseerd,5581.334358122532,174853.69962280005,174823.22960812977,64,3348.800614873519,837.2001537183797,1076.37,901137.1294578523,207.26153977530603,3348.800614873519,837.2001537183797,886.125,741863.9862136992,170.62871682915082,south,901137.1294578523,207.26153977530603
Gebouw.13965454,https://data.vlaanderen.be/id/gebouw/13965454,13965454,2023-11-02 15:14:22,IngemetenGRB,Gerealiseerd,5513.127310879878,174461.60570938632,170775.95445125276,65,3307.8763865279266,826.9690966319816,1085.0,897261.4698457001,206.37013806451102,3307.8763865279266,826.9690966319816,892.915,738413.1109191459,169.83501551140355,south,897261.4698457001,206.37013806451102
Gebouw.14167886,https://data.vlaanderen.be/id/gebouw/14167886,14167886,2023-11-02 14:41:53,IngemetenGRB,Gerealiseerd,5461.108910038991,174470.30019295082,174313.65719330293,66,3276.6653460233942,819.1663365058486,1075.27,880824.9866546438,202.58974693056808,3276.6653460233942,819.1663365058486,885.66,725502.8575897698,166.86565724564704,south,880824.9866546438,202.58974693056808
Gebouw.14076921,https://data.vlaanderen.be/id/gebouw/14076921,14076921,2023-11-02 14:09:44,IngemetenGRB,Gehistoreerd,5443.236439026722,172136.26146504376,173924.53143054715,67,3265.9418634160334,816.4854658540083,1065.79,870202.0446525435,200.146470270085,3265.9418634160334,816.4854658540083,878.65,717404.9545726244,165.0031395517036,south,870202.0446525435,200.146470270085
Gebouw.19744262,https://data.vlaanderen.be/id/gebouw/19744262,19744262,2023-11-03 05:04:56,IngemetenGRB,Gerealiseerd,5409.161637528964,177772.90035320263,175196.65445813644,68,3245.4969825173785,811.3742456293446,1080.09,876357.2089617988,201.56215806121372,3245.4969825173785,811.3742456293446,890.0450000000001,722159.5904511701,166.09670580376914,south,876357.2089617988,201.56215806121372
Gebouw.14542669,https://data.vlaanderen.be/id/gebouw/14542669,14542669,2024-12-18 00:36:59,IngemetenGRB,Gerealiseerd,5406.370843211322,173953.20869583724,175331.62774414584,69,3243.822505926793,810.9556264816982,1076.18,872734.2261070741,200.72887200462705,3243.822505926793,810.9556264816982,886.06,718555.3424003735,165.2677287520859,south,872734.2261070741,200.72887200462705
Gebouw.14060332,https://data.vlaanderen.be/id/gebouw/14060332,14060332,2023-11-02 16:48:53,IngemetenGRB,Gerealiseerd,5363.506083790857,174508.50955009207,174090.27991284168,70,3218.103650274514,804.5259125686285,1076.27,865887.1039202379,199.1540339016547,3218.103650274514,804.5259125686285,886.13,712914.5469044388,163.97034578802092,south,865887.1039202379,199.1540339016547
